station,location,channel,network
ACON,*,*Z,INTER
ALCE,*,*Z,INTER
ANIL,*,*Z,INTER
ANWB,*,*Z,INTER
AUA1,*,*Z,INTER
AZU,*,*Z,INTER
BBGH,*,*Z,INTER
BCIP,*,*Z,INTER
BLUN,*,*Z,INTER
BOAV,*,*Z,INTER
BONI,*,*Z,INTER
BRU2,*,*Z,INTER
CACAO,*,*Z,INTER
CASC,*,*Z,INTER
CNGN,*,*Z,INTER
COHC,*,*Z,INTER
CRIN,*,*Z,INTER
CSAN,*,*Z,INTER
CUSE,*,*Z,INTER
CZSB,*,*Z,INTER
DABV,*,*Z,INTER
ELOV,*,*Z,INTER
ESPN,*,*Z,INTER
FLF1,*,*Z,INTER
GMAL,*,*Z,INTER
GRGR,*,*Z,INTER
GRTK,*,*Z,INTER
GTBY,*,*Z,INTER
HERN,*,*Z,INTER
JTS,*,*Z,INTER
LITA,*,*Z,INTER
LPAZ,*,*Z,INTER
MATN,*,*Z,INTER
MCQV,*,*Z,INTER
MCRA,*,*Z,INTER
MGAN,*,*Z,INTER
MTDJ,*,*Z,INTER
NNA,*,*Z,INTER
OTAV,*,*Z,INTER
PAC1,*,*Z,INTER
PAYG,*,*Z,INTER
PIAT,*,*Z,INTER
PNME,*,*Z,INTER
PPLP,*,*Z,INTER
PTGA,*,*Z,INTER
PTGL,*,*Z,INTER
PTP,*,*Z,INTER
RVRD,*,*Z,INTER
SAML,*,*Z,INTER
SDDR,*,*Z,INTER
SDV,*,*Z,INTER
SGC2,*,*Z,INTER
SIQV,*,*Z,INTER
SJG,*,*Z,INTER
SNLR,*,*Z,INTER
SOCV,*,*Z,INTER
TBTG,*,*Z,INTER
TEIG,*,*Z,INTER
TGUH,*,*Z,INTER
TULM,*,*Z,INTER
UPA,*,*Z,INTER
UPD2,*,*Z,INTER
