station,location,channel,network
ANIL,00,HHZ,OM
APAC,00,HHZ,CM
ARGC,00,HHZ,CM
ARGC,40,HLZ,CM
BAR2,20,EHZ,CM
BAR2,00,HHZ,CM
BBAC,00,HHZ,CM
BELO,00,HHZ,CM
BET,20,EHZ,CM
BRJC,00,HHZ,CM
CAP2,00,HHZ,CM
CBOC,00,HHZ,CM
CHI,00,HHZ,CM
CLBC,20,EHZ,CM
COBO,00,HHZ,CM
CRJC,00,HHZ,CM
CRU,20,EHZ,CM
CUM,20,EHZ,CM
CVER,00,HHZ,CM
DBB,20,EHZ,CM
DBB,00,HHZ,CM
ELA,00,HHZ,OM
FLO2,00,HHZ,CM
GARC,00,HHZ,CM
GCUF,00,HHZ,OP
GRPC,20,EHZ,CM
GRPC,00,HHZ,CM
GUA,20,EHZ,CM
GUY2C,00,HHZ,CM
HEL,00,HHZ,CM
JAMC,00,HHZ,CM
LCBC,00,HHZ,CM
MACC,00,HHZ,CM
MAL,20,EHZ,CM
MAL,00,HHZ,CM
MAP,00,HHZ,CM
MARO,00,HHZ,CM
NOR,00,HHZ,CM
OCA,00,HHZ,CM
ORTC,00,HHZ,CM
PAL,00,HHZ,CM
PAL,40,HLZ,CM
PAM,20,EHZ,CM
PGA1B,00,HHZ,CM
PIRM,00,HHZ,CM
PIZC,00,HHZ,CM
PLNC,20,EHZ,CM
POP2,00,HHZ,CM
POP2,40,HLZ,CM
PRA,00,HHZ,CM
PRV,00,HHZ,CM
PTA,00,HHZ,CM
PTA,40,HLZ,CM
PTB,00,HHZ,CM
PTGC,00,HHZ,CM
PTLC,00,HHZ,CM
PTLC,40,HLZ,CM
QUBC,00,HHZ,CM
RNCC,00,HHZ,CM
ROSC, ,BHZ,CM
RUS,00,HHZ,CM
SAIC,00,HHZ,CM
SERC,00,HHZ,CM
SJC,00,HHZ,CM
SMAR,00,HHZ,CM
SOL,20,EHZ,CM
SOTO,00,HHZ,CM
SPBC,00,HHZ,CM
TABC,20,EHZ,CM
TAM,00,HHZ,CM
TUM,00,HHZ,CM
URE,00,HHZ,CM
URE,40,HLZ,CM
URI,00,HHZ,CM
URMC,00,HHZ,CM
VIL,20,EHZ,CM
VIL,40,HLZ,CM
YOT,00,HHZ,CM
YPLC,00,HHZ,CM
ZAR,00,HHZ,CM
